# Constructed from biom file
feature-id	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8
ebd1dcd162acede67bb633c42c7b2ac2	0.0	0.0	33.0	0.0	0.0	16.0	0.0	0.0
80b20e907aa4fcf2309796bc303d151d	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
7fee9350277038eef98dee70b4190563	0.0	9.0	0.0	4.0	7.0	0.0	7.0	13.0
34e40677eda6fb724e9323b0835d5ab0	0.0	0.0	13.0	17.0	15.0	0.0	0.0	0.0
48eda83fda558aea8fdd32b9c8dfff98	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f55566622d8244073432b2e67b24baa	0.0	5.0	0.0	0.0	0.0	26.0	13.0	0.0
956d0a6f5a8e1d2fbb39df909cc14894	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0
816b94bcd935ca38afe71fd1e3c5356c	22.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
ee7ce85e38500b28d9d79b63c7fbf9a6	10.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
8659c05e82a2d1399cbc3fd26ab938e4	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
3677e15d86603bf0a6bb50f8b010afe7	0.0	17.0	0.0	0.0	0.0	0.0	0.0	23.0
54b4964000ad1631e547c46a828ed1a0	0.0	0.0	12.0	0.0	0.0	11.0	16.0	0.0
1893b0ad352ee7db0f565bc4594e6dc6	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0
2b148d88c49e316f85b6e7863089a886	7.0	0.0	0.0	0.0	0.0	23.0	0.0	7.0
cbb7ea319a7633cf0917c6e5cde0e923	0.0	0.0	0.0	21.0	16.0	0.0	0.0	0.0
edacf632dcadc21c328669befafe2af6	24.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
e2c355360209f0b71b70b85ed0f9532d	0.0	0.0	26.0	0.0	0.0	0.0	10.0	0.0
3b795f0122b28b0e6a07bec73894acee	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
e2f0caba18b002ca9762ed56167c6188	0.0	0.0	19.0	0.0	16.0	0.0	0.0	0.0
02ef9a59d6da8b642271166d3ffd1b52	0.0	0.0	0.0	0.0	0.0	13.0	22.0	0.0
c7ec57695a6d83b461eba523752755ec	7.0	15.0	0.0	0.0	0.0	0.0	0.0	11.0
74c2326ccd0bc2bd9e0f23f15b79ea16	0.0	0.0	0.0	0.0	5.0	11.0	15.0	0.0
8f0a7d866b4e5ebf1e34d0a44eb950a4	0.0	0.0	10.0	11.0	8.0	0.0	0.0	0.0
d8db52dac1023a8fa0e56e92670d7ac1	0.0	0.0	11.0	9.0	9.0	0.0	0.0	0.0
51757b1a0a985640893725af5d87d350	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0
d51cd90e95b57acb614698dc580759fb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0
b0ca0d2568c23c26c6704017eae471e1	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a8d25f7529d783a219ef689701dd4e2	0.0	0.0	6.0	7.0	12.0	0.0	0.0	0.0
491ef1635067f62c395bdffd58966092	0.0	0.0	0.0	0.0	0.0	15.0	10.0	0.0
e80d9134b601511a2702b54268b57249	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
3111520c8424a2a5bdd46558ae7650e8	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
02878fe3ccc81d4c884ca5574178d6a0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f4eefbd4edf2a372131825289fffcca6	9.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
aee707afe3847427a6d3d34e31437923	5.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
33176e81f3e7ef2b9de1b783ff1ca33c	0.0	10.0	0.0	0.0	0.0	8.0	0.0	0.0
f66effc279917d65747b7c3ef8d62432	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
160029903cd9c779390f4719179aeea2	0.0	0.0	0.0	4.0	4.0	6.0	4.0	0.0
0741ae033054073fece98b9948ec4387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0
fbf110ef5de76f86121c8504a0cb786e	6.0	0.0	0.0	3.0	3.0	0.0	5.0	0.0
a841dd7e2f38b26bb7bb37179b4141d5	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
73291cac0e802b6a1fb25ae7079390ef	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
